(.venv) andre@Mac MLproject % python3 -m scripts.run_monk

🚀 Avvio Grid Search...
Config 282/864 | Val Accuracy: 0.5588 | Tr MSE: 0.2598
Config 283/864 | Val Accuracy: 0.4412 | Tr MSE: 0.2519
Config 284/864 | Val Accuracy: 0.5588 | Tr MSE: 0.2400
Config 285/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2260
Config 286/864 | Val Accuracy: 0.3824 | Tr MSE: 0.2949
Config 287/864 | Val Accuracy: 0.3824 | Tr MSE: 0.4178
Config 288/864 | Val Accuracy: 0.3824 | Tr MSE: 0.4657
Config 289/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2284
Config 290/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2354
Config 291/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2312
Config 292/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2327
Config 293/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2348
Config 294/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2291
Config 295/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2323
Config 296/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2345
Config 297/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2209
Config 298/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0029
Config 299/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0010
Config 300/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0002
Config 301/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0014
Config 302/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0004
Config 303/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0001
Config 304/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0011
Config 305/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0003
Config 306/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0001
Config 307/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2297
Config 308/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2232
Config 309/864 | Val Accuracy: 0.6471 | Tr MSE: 0.1832
Config 310/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2352
Config 311/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2107
Config 312/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0040
Config 313/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2271
Config 314/864 | Val Accuracy: 0.6176 | Tr MSE: 0.1743
Config 315/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0052
Config 316/864 | Val Accuracy: 0.7059 | Tr MSE: 0.2307
Config 317/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2309
Config 318/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2151
Config 319/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2246
Config 320/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2287
Config 321/864 | Val Accuracy: 0.6176 | Tr MSE: 0.1998
Config 322/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2193
Config 323/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2223
Config 324/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2086
Config 325/864 | Val Accuracy: 0.7353 | Tr MSE: 0.2361
Config 326/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2348
Config 327/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2342
Config 328/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2384
Config 329/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2355
Config 330/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2287
Config 331/864 | Val Accuracy: 0.7059 | Tr MSE: 0.2275
Config 332/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2276
Config 333/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2352
Config 334/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2017
Config 335/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0029
Config 336/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0006
Config 337/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0075
Config 338/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0013
Config 339/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0003
Config 340/864 | Val Accuracy: 0.7647 | Tr MSE: 0.1392
Config 341/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0011
Config 342/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0002
Config 343/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2354
Config 344/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2337
Config 345/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2232
Config 346/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2341
Config 347/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2180
Config 348/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2001
Config 349/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2253
Config 350/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2216
Config 351/864 | Val Accuracy: 0.6176 | Tr MSE: 0.1796
Config 352/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2373
Config 353/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2339
Config 354/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2237
Config 355/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2377
Config 356/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2260
Config 357/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2238
Config 358/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2350
Config 359/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2340
Config 360/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2081
Config 361/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2341
Config 362/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2388
Config 363/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2360
Config 364/864 | Val Accuracy: 0.3824 | Tr MSE: 0.3018
Config 365/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2374
