(.venv) andre@Mac MLproject % python3 -m scripts.run_monk

🚀 Avvio Grid Search...
Config 220/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2049
Config 221/864 | Val Accuracy: 0.7083 | Tr MSE: 0.1892
Config 222/864 | Val Accuracy: 0.7917 | Tr MSE: 0.1330
Config 223/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2331
Config 224/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2424
Config 225/864 | Val Accuracy: 0.7917 | Tr MSE: 0.1467
Config 226/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0061
Config 227/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0667
Config 228/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0603
Config 229/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0607
Config 230/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0010
Config 231/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0601
Config 232/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0021
Config 233/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0537
Config 234/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0968
Config 235/864 | Val Accuracy: 0.7500 | Tr MSE: 0.2002
Config 236/864 | Val Accuracy: 0.7500 | Tr MSE: 0.1435
Config 237/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0586
Config 238/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1608
Config 239/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1051
Config 240/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0286
Config 241/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1635
Config 242/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0784
Config 243/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0679
Config 244/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2775
Config 245/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1508
Config 246/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0947
Config 247/864 | Val Accuracy: 0.7500 | Tr MSE: 0.1676
Config 248/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1505
Config 249/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1210
Config 250/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2226
Config 251/864 | Val Accuracy: 0.7500 | Tr MSE: 0.1646
Config 252/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1198
Config 253/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3985
Config 254/864 | Val Accuracy: 0.5000 | Tr MSE: 0.4333
Config 255/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2885
Config 256/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3085
Config 257/864 | Val Accuracy: 0.5417 | Tr MSE: 0.3075
Config 258/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3141
Config 259/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3528
Config 260/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2867
Config 261/864 | Val Accuracy: 0.6250 | Tr MSE: 0.2592
Config 262/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2023
Config 263/864 | Val Accuracy: 0.6250 | Tr MSE: 0.2163
Config 264/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1059
Config 265/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2077
Config 266/864 | Val Accuracy: 0.9167 | Tr MSE: 0.1278
Config 267/864 | Val Accuracy: 0.7917 | Tr MSE: 0.1257
Config 268/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2458
Config 269/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1613
Config 270/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1089
Config 271/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3474
Config 272/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3823
Config 273/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3495
Config 274/864 | Val Accuracy: 0.5000 | Tr MSE: 0.4862
Config 275/864 | Val Accuracy: 0.5000 | Tr MSE: 0.4111
Config 276/864 | Val Accuracy: 0.4583 | Tr MSE: 0.2396
Config 277/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2844
Config 278/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2320
Config 279/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2563
Config 280/864 | Val Accuracy: 0.5417 | Tr MSE: 0.3894
Config 281/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3994
Config 282/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3335
Config 283/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3630
Config 284/864 | Val Accuracy: 0.3750 | Tr MSE: 0.2592
Config 285/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3032
Config 286/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3553
Config 287/864 | Val Accuracy: 0.5833 | Tr MSE: 0.3385
Config 288/864 | Val Accuracy: 0.4583 | Tr MSE: 0.2946
Config 289/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2294
Config 290/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2368
Config 291/864 | Val Accuracy: 0.6667 | Tr MSE: 0.1943
Config 292/864 | Val Accuracy: 0.7500 | Tr MSE: 0.2084
Config 293/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1772
Config 294/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1286
Config 295/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2480
Config 296/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2480
Config 297/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1230
Config 298/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1037
Config 299/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1006
Config 300/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0603
Config 301/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0572
Config 302/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0352
